dataset,model,total_time,accuracy,f1_macro,f1_weighted,seed
GestureMidAirD3,lr_classifier,0.1674322079998091,0.3307692307692307,0.3377222394463773,0.3377222394463773,5
GesturePebbleZ1,lr_classifier,0.0266032089966756,0.6976744186046512,0.6824965463046858,0.6897909623352431,1
GesturePebbleZ1,lr_classifier,0.0265700000018114,0.6976744186046512,0.6824965463046858,0.6897909623352431,2
GesturePebbleZ1,lr_classifier,0.0263268329981656,0.6976744186046512,0.6824965463046858,0.6897909623352431,3
GesturePebbleZ1,lr_classifier,0.0266032909967179,0.6976744186046512,0.6824965463046858,0.6897909623352431,4
GesturePebbleZ1,lr_classifier,0.0293249159985862,0.6976744186046512,0.6824965463046858,0.6897909623352431,5
GesturePebbleZ2,lr_classifier,0.0291510000024572,0.5126582278481012,0.4685131083386897,0.4822049356785889,1
GesturePebbleZ2,lr_classifier,0.0265715829991677,0.5126582278481012,0.4685131083386897,0.4822049356785889,2
GesturePebbleZ2,lr_classifier,0.027279833000648,0.5126582278481012,0.4685131083386897,0.4822049356785889,3
GesturePebbleZ2,lr_classifier,0.0291533750023518,0.5126582278481012,0.4685131083386897,0.4822049356785889,4
GesturePebbleZ2,lr_classifier,0.0285165000022971,0.5126582278481012,0.4685131083386897,0.4822049356785889,5
GunPoint,lr_classifier,0.001871000000392,0.8533333333333334,0.8529149581030486,0.8530195519106198,1
GunPoint,lr_classifier,0.0017711250002321,0.8533333333333334,0.8529149581030486,0.8530195519106198,2
GunPoint,lr_classifier,0.0016148750000866,0.8533333333333334,0.8529149581030486,0.8530195519106198,3
GunPoint,lr_classifier,0.0016466659981233,0.8533333333333334,0.8529149581030486,0.8530195519106198,4
GunPoint,lr_classifier,0.001662041999225,0.8533333333333334,0.8529149581030486,0.8530195519106198,5
GunPointAgeSpan,lr_classifier,0.0017840829968918,0.8924050632911392,0.8922496790757382,0.8923014738142051,1
GunPointAgeSpan,lr_classifier,0.001802333001251,0.8924050632911392,0.8922496790757382,0.8923014738142051,2
GunPointAgeSpan,lr_classifier,0.0016575420013396,0.8924050632911392,0.8922496790757382,0.8923014738142051,3
GunPointAgeSpan,lr_classifier,0.0016711660027795,0.8924050632911392,0.8922496790757382,0.8923014738142051,4
GunPointAgeSpan,lr_classifier,0.0019720829986908,0.8924050632911392,0.8922496790757382,0.8923014738142051,5
GunPointMaleVersusFemale,lr_classifier,0.0017355839991068,0.990506329113924,0.9904787730874688,0.9905047081711914,1
GunPointMaleVersusFemale,lr_classifier,0.0018317079993721,0.990506329113924,0.9904787730874688,0.9905047081711914,2
